"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"cpxP",1.16720001464549,6.58131634857265,88.3749030324699,1.18911256034795e-07,2.34701091598676e-05,"SL1344_4009","cpxP"
"rpmE2",8.22770662858082,11.214053170114,97.4444435169024,1.27858042939572e-07,2.35561963974802e-05,"SL1344_0462","rpmE2"
"sodCa",1.83609240205955,8.35221569707809,87.2318618978913,1.29293034902783e-07,2.35561963974802e-05,"SL1344_0983","sodCa"
"sodB",-3.71485699572125,7.69773909659393,89.6299720868132,1.6206827903166e-07,2.84339791767767e-05,"SL1344_1363","sodB"
"ynhG",2.23936530559453,7.01093176588439,81.2714029348665,2.03266004078051e-07,3.35541358973108e-05,"SL1344_1309","ynhG"
"ilvE",1.25660197037488,7.79338153469669,81.1368692250326,2.0541902913701e-07,3.35541358973108e-05,"SL1344_3863","ilvE"
"iroC",6.64402794877874,10.2348690177753,87.2990489828301,2.48420631024642e-07,3.79602751343139e-05,"SL1344_2759","iroC"
"proX",1.47159998148723,6.9910617983641,78.8258205627314,2.46761050641352e-07,3.79602751343139e-05,"SL1344_2796","proX"
"SL1344_1025",1.06094331116722,8.0758616754247,76.5158190087272,2.97775608016158e-07,4.01563589695515e-05,"SL1344_1025","SL1344_1025"
"phoQ",1.0720386733958,8.92378687593353,76.2182615432633,3.05178155563406e-07,4.01563589695515e-05,"SL1344_1168","phoQ"
"SL1344_1186",4.47353776716123,6.01422361764897,84.3371583397136,2.95632503939633e-07,4.01563589695515e-05,"SL1344_1186","SL1344_1186"
"gst",1.10835892754329,8.01567767516024,76.8711394418671,2.89201523291596e-07,4.01563589695515e-05,"SL1344_1383","gst"
"rlgA",1.04248273271231,8.99070889592296,77.0250320640229,2.85575198743476e-07,4.01563589695515e-05,"SL1344_P1_0062","rlgA"
"ugpB",1.19361316557272,5.68763557561709,75.635726317951,3.20282928202069e-07,4.10048711052216e-05,"SL1344_3523","ugpB"
"SL1344_1783",1.71437896295999,5.01520822569583,75.1786376393277,3.32730115616101e-07,4.14774357282493e-05,"SL1344_1783","SL1344_1783"
"SL1344_0358",2.43080491379706,6.72913988265304,74.3652298672543,3.56262424714179e-07,4.21903776467767e-05,"SL1344_0358","SL1344_0358"
"sfbA",1.26289238753522,5.40145275362765,74.4922473889646,3.52466346551815e-07,4.21903776467767e-05,"SL1344_0503","sfbA"
"iroB",7.59835736118645,10.0950672029035,81.8324283991387,3.65604510781675e-07,4.22406967700681e-05,"SL1344_2758","iroB"
"yihX",1.26446404404119,8.11007467759855,70.796484714579,4.84511071433689e-07,5.46459272709854e-05,"SL1344_3972","yihX"
