"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"ydiR",2.17544828846722,4.96239206127259,205.836083776462,4.0025100686115e-10,7.29226545962026e-08,"SL1344_1287","ydiR"
"cpxP",1.77979785560597,6.58131634857265,202.674408109653,4.45853022349421e-10,7.82224358099706e-08,"SL1344_4009","cpxP"
"pagN",3.93990233516447,7.76253951513557,198.965733847907,5.07034905991092e-10,8.36793476578303e-08,"SL1344_0302","pagN"
"yjdB",2.10121403248103,8.86190395448033,198.671314836576,5.12286485555643e-10,8.36793476578303e-08,"SL1344_4230","yjdB"
"aroQ",3.43617895119889,5.43955137545115,196.51778336025,5.52631137061322e-10,8.72604565419827e-08,"SL1344_1204","aroQ"
"SL1344_2272",2.81784674993011,6.61472951267251,194.532093539714,5.93050749821382e-10,8.77900438094964e-08,"SL1344_2272","SL1344_2272"
"mig-14",3.6308914783367,10.2948703793076,195.265513052397,5.77743301639587e-10,8.77900438094964e-08,"SL1344_2765","mig-14"
"ompD",-2.54143596983166,10.6230369820836,191.680709195426,6.57095187252625e-10,9.43230273338086e-08,"SL1344_1503","ompD"
"ompC",-2.08151352731511,11.7391388271255,188.525723476962,7.37279909510177e-10,9.70137480930475e-08,"SL1344_2237","ompC"
"lrhA",2.07554424126331,7.38967216839779,190.02982256905,6.97745579456348e-10,9.70137480930475e-08,"SL1344_2299","lrhA"
"yjeH",2.05819368010649,7.05764987180443,189.268689365286,7.1744258515921e-10,9.70137480930475e-08,"SL1344_4265","yjeH"
"sodCa",2.7654215694218,8.35221569707809,186.133872026093,8.05496390773369e-10,1.02007482385457e-07,"SL1344_0983","sodCa"
"SL1344_1783",2.68533787136366,5.01520822569583,185.710608258426,8.18299415378372e-10,1.02007482385457e-07,"SL1344_1783","SL1344_1783"
"fkpA",1.67192898121241,10.5432392586458,177.993779874233,1.09745703896445e-09,1.33298820348066e-07,"SL1344_3420","fkpA"
"yhjJ",1.58909249287329,7.89043646523756,176.066845490941,1.18309277253423e-09,1.40107761587366e-07,"SL1344_3578","yhjJ"
"rbn",1.80350509460887,7.28117659305754,174.413019564491,1.26267110924619e-09,1.45884708402419e-07,"SL1344_3973","rbn"
"rlgA",1.56602959958852,8.99070889592296,169.916158393925,1.51159743778729e-09,1.70486596733295e-07,"SL1344_P1_0062","rlgA"
"dacD",1.55611955928433,7.04381013212438,166.957108631103,1.70572185286648e-09,1.87907079465779e-07,"SL1344_2038","dacD"
"ydcR",1.69662413465062,7.04344307383435,160.913721559888,2.19682298221585e-09,2.36507965153556e-07,"SL1344_1529","ydcR"
"SL1344_P1_0064",1.60338363216136,6.90673459695724,157.429383745054,2.55205979941984e-09,2.68646828218929e-07,"SL1344_P1_0064","SL1344_P1_0064"
"pagP",1.83534023706006,9.19962435580162,156.334319066295,2.67684355222527e-09,2.75656693628067e-07,"SL1344_0616","pagP"
"ompX",-1.84531474726055,11.0086851061161,153.986410634676,2.96843603383154e-09,2.99180457282128e-07,"SL1344_0808","ompX"
"udg",2.93306234970268,6.90320526721277,148.844967067071,3.74191796663914e-09,3.692805293327e-07,"SL1344_2057","udg"
"phoP",1.54739211265732,9.96225572874715,148.11018702073,3.87012964569615e-09,3.7413885982985e-07,"SL1344_1169","phoP"
"pagC",2.66831154224467,7.16889448951257,144.720107962814,4.53003231357712e-09,4.29175261388296e-07,"SL1344_1184","pagC"
"ais",1.8705755826136,5.40112477803501,143.749970059789,4.74173778602192e-09,4.404237625958e-07,"SL1344_2265","ais"
"pagK",3.59105950435395,5.68965253147026,142.834668317276,4.95181953142564e-09,4.51091713853139e-07,"SL1344_1799","pagK"
"yiaD",4.14297263338784,8.09052404227856,144.998431421472,5.6773305300517e-09,5.07424806053867e-07,"SL1344_3611","yiaD"
"SL1344_1602",2.6359458741514,8.1166407282276,138.100542501503,6.22204611033504e-09,5.45811711567724e-07,"SL1344_1602","SL1344_1602"
