"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"rsdB",0.293075182487896,6.86147071605894,0.474767880693043,0.502257973820575,0.816190745107397,"SL1344_P1_0076","rsdB"
"SL1344_2301",-0.109108199890519,5.15626051554093,0.469134873040951,0.503906378889802,0.818308027700031,"SL1344_2301","SL1344_2301"
"yafP",-0.173700959038077,4.41208499812527,0.46923348538927,0.503862238129088,0.818308027700031,"SL1344_3619","yafP"
"SL1344_4245",0.138368088674131,2.90011600773488,0.468654537504749,0.50412148477654,0.818376790057049,"SL1344_4245","SL1344_4245"
"thiL",0.118066579134,7.54799554725611,0.468024481895026,0.504403887233235,0.818554715253112,"SL1344_0413","thiL"
"ybhM",0.354109020623943,1.32788447816896,0.467036141213958,0.504847448508731,0.818675840914205,"SL1344_0784","ybhM"
"gntU",0.155890546949999,4.92403298281733,0.466703252148951,0.504997003831815,0.818675840914205,"SL1344_3507","gntU"
"rfe",-0.0994134486472205,7.48945187895064,0.467358004892324,0.504702921655654,0.818675840914205,"SL1344_3877","rfe"
"rcsF",-0.0913888711383209,7.52204075018411,0.462655011586702,0.506822090851276,0.818678518623221,"SL1344_0245","rcsF"
"yciO",-0.103727292616653,6.23201896255573,0.464241241346315,0.506105560174405,0.818678518623221,"SL1344_1652","yciO"
"hemF",0.165571958772234,5.4165333845785,0.463092860898866,0.50662412448807,0.818678518623221,"SL1344_2414","hemF"
"trxC",-0.0868235065372739,6.55139022426494,0.463050404489091,0.506643314393158,0.818678518623221,"SL1344_2613","trxC"
"hycC",-0.148567297923905,2.67082438783703,0.464080024495859,0.506178302167973,0.818678518623221,"SL1344_2831","hycC"
"yqgF",0.16663664807569,5.33188121675328,0.46263282862941,0.506832124197244,0.818678518623221,"SL1344_3072","yqgF"
"ygiE",0.155929656249057,5.17565231543353,0.462483343311905,0.506899745645325,0.818678518623221,"SL1344_3164","ygiE"
"yhcB",-0.0903761476779643,8.55888759987232,0.463665380446788,0.506365477953957,0.818678518623221,"SL1344_3319","yhcB"
"hemC",0.192393618644716,6.90825219649886,0.464328178545286,0.506066341357648,0.818678518623221,"SL1344_3893","hemC"
"yshB",0.22256348718099,3.56167522017912,0.463665134573203,0.506365588981271,0.818678518623221,"SL1344_3951A","yshB"
"rhaS",0.199386654212224,2.65855114218846,0.464273301729482,0.506091096569479,0.818678518623221,"SL1344_3997","rhaS"
"SL1344_2746",-0.190190560415311,3.56495650347199,0.462089783200824,0.507077854513023,0.818687047317038,"SL1344_2746","SL1344_2746"
"flhB",-0.226092243744492,6.0111267288023,0.460559837732024,0.508040934737727,0.819962489898676,"SL1344_1849","flhB"
"glnD",0.0991998292388253,7.32402513882227,0.454836591351542,0.510380570233673,0.820409713634754,"SL1344_0215","glnD"
"SL1344_0244",-0.0970155686395144,6.26736224642172,0.450036801628109,0.512587507552658,0.820409713634754,"SL1344_0244","SL1344_0244"
"SL1344_0327",-0.14952487983659,3.50953657643624,0.447536773871849,0.513743861794242,0.820409713634754,"SL1344_0327","SL1344_0327"
"ybaO",-0.0721061388244951,5.15796668196641,0.449071657733966,0.51303336291324,0.820409713634754,"SL1344_0453","ybaO"
