"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"lrhA",1.71326501065718,7.38967216839779,132.296340448965,8.31421957435629e-09,5.22936286827027e-07,"SL1344_2299","lrhA"
"malG",1.77703084959311,4.79191141190543,132.287581184699,8.3179293054276e-09,5.22936286827027e-07,"SL1344_4163","malG"
"soxS",1.59199603752219,5.73497683991359,132.118419149946,8.38994253722906e-09,5.22936286827027e-07,"SL1344_4201","soxS"
"yceJ",2.42655619205368,4.58007368335912,131.336105961872,8.73231012831114e-09,5.37207182828699e-07,"SL1344_1095","yceJ"
"yiiD",1.60003017422307,8.05748812455975,124.457392123647,1.25319752471833e-08,7.610764967424e-07,"SL1344_3975","yiiD"
"metK",-1.40984578392627,10.2627027904518,124.119137237869,1.27624627108375e-08,7.6526311216756e-07,"SL1344_3065","metK"
"yaaH",-2.05258734525679,9.02526755630526,122.748537160043,1.3746925513519e-08,8.08047792559241e-07,"SL1344_0009","yaaH"
"SL1344_3920",1.50542117033591,4.6593759257314,122.655043993708,1.38171566808737e-08,8.08047792559241e-07,"SL1344_3920","SL1344_3920"
"pagP",1.60315547692451,9.19962435580162,120.946094258415,1.51754316082166e-08,8.62528013080579e-07,"SL1344_0616","pagP"
"eco",1.53082470771203,5.65946557507519,121.196346860514,1.49673752413525e-08,8.62528013080579e-07,"SL1344_2232","eco"
"kefB",1.14766611574487,6.63137687646724,120.804046221929,1.52949869323979e-08,8.62528013080579e-07,"SL1344_3424","kefB"
"hyaA2",1.67342478054904,3.76633089388363,120.279331857112,1.57459715642185e-08,8.69138394459597e-07,"SL1344_1468","hyaA2"
"arnT",1.66920221319544,6.29199940701273,120.241387775216,1.57791644339298e-08,8.69138394459597e-07,"SL1344_2270","arnT"
"glgB",1.45515783247657,7.09219305589988,119.537688601717,1.64093673499881e-08,8.93461760194177e-07,"SL1344_3505","glgB"
"tolC",1.13026758462829,9.86370904747229,118.021964358203,1.78662149808357e-08,9.61730231411577e-07,"SL1344_3160","tolC"
"SL1344_P1_0061",2.06669918192418,10.387792061336,115.762330708092,2.03188760389562e-08,1.08146646962399e-06,"SL1344_P1_0061","SL1344_P1_0061"
"ramA",2.31093217265137,5.86371542786634,115.490355162919,2.0639044478432e-08,1.08630170771481e-06,"SL1344_0569","ramA"
"phoQ",1.32230939477819,8.92378687593353,114.906980392783,2.13452829285763e-08,1.0990500568768e-06,"SL1344_1168","phoQ"
"yggN",1.56667332722096,8.48885540776314,115.071050527237,2.11439253185545e-08,1.0990500568768e-06,"SL1344_3082","yggN"
"yhbW",2.91089493592069,5.16030186042431,114.23302373127,2.21955446518124e-08,1.13054080661974e-06,"SL1344_3249","yhbW"
"sseK1",2.3658573905476,6.46173120695243,113.084960018575,2.37339437312926e-08,1.19603927079929e-06,"SL1344_4096","sseK1"
"SL1344_0082",3.05545900286921,6.28447734856805,112.654445336753,2.43417416307894e-08,1.21375610636894e-06,"SL1344_0082","SL1344_0082"
"siiB",-2.4298289026908,5.0247533720516,111.056157716689,2.67578383989509e-08,1.32033208849823e-06,"SL1344_4194","siiB"
"ybjG",1.65252756174632,6.3074848532389,109.774208197252,2.88933499840664e-08,1.39661019259717e-06,"SL1344_0841","ybjG"
"yfbG",2.28103812909188,8.0001475635145,109.818143528392,2.88170361611108e-08,1.39661019259717e-06,"SL1344_2268","yfbG"
"tsx",-1.69010680953599,6.45498596954948,109.568180022365,2.92542842659105e-08,1.39977317745069e-06,"SL1344_0407","tsx"
"rlgA2",1.51468807127174,8.59781836810239,109.207358447007,2.98987886952955e-08,1.41630562049615e-06,"SL1344_P1_0063","rlgA2"
"norM",-1.38049209201265,6.42696725248644,106.843070281288,3.4543222606735e-08,1.62011134146637e-06,"SL1344_1357","norM"
"phoB",1.43427479570889,7.29508281186202,105.752099344498,3.69585382885785e-08,1.71639799875487e-06,"SL1344_0392","phoB"
"gyrI",1.55041638465684,5.35801613248772,104.019051723446,4.11999485767613e-08,1.89479763503028e-06,"SL1344_2037","gyrI"
"ycfS",1.740590038267,5.29547572508527,102.783977388797,4.45601703783559e-08,2.0103002579264e-06,"SL1344_1152","ycfS"
"yegQ",-1.29625502564714,8.05164264717716,102.868323040079,4.43210497869548e-08,2.0103002579264e-06,"SL1344_2112","yegQ"
"SL1344_4014",1.88114054730172,5.27183281436168,101.855638980796,4.72910376985886e-08,2.11337401488881e-06,"SL1344_4014","SL1344_4014"
"yfbE",2.5327471251964,7.78983520801554,101.366004761152,4.88075591934723e-08,2.151908609054e-06,"SL1344_2266","yfbE"
"ugpB",1.37526815150685,5.68763557561709,101.285584017292,4.90618808904016e-08,2.151908609054e-06,"SL1344_3523","ugpB"
"ydcW",1.918554457092,6.20393746045994,100.249116373921,5.24778344362778e-08,2.2806192818775e-06,"SL1344_1528","ydcW"
"ssrB",2.34428522226672,4.47675442443277,99.1709026413156,5.63207346477173e-08,2.42537563660215e-06,"SL1344_1325","ssrB"
"acrA",1.50067335440115,10.3392271675483,98.990999983185,5.69925280207769e-08,2.43219464175153e-06,"SL1344_0469","acrA"
"phoR",1.20719751173446,6.76182724230491,98.7176005175595,5.80309358173537e-08,2.45439770506076e-06,"SL1344_0393","phoR"
"nhaB",-1.1525032448035,7.57755901569613,98.3643880867037,5.94044100407591e-08,2.49025389701837e-06,"SL1344_1734","nhaB"
"yidH",1.43739975797691,5.14916540406847,97.3596041364062,6.35176280027145e-08,2.63932459516542e-06,"SL1344_3773","yidH"
"slsA",2.41262383464438,4.20059381995008,97.1422354512105,6.4449400224422e-08,2.65475485967902e-06,"SL1344_3726","slsA"
"SL1344_0213",1.70055511858849,6.5468018626754,95.3349143134748,7.28266246556152e-08,2.94854462387734e-06,"SL1344_0213","SL1344_0213"
"SL1344_2834",1.75123274224525,4.34656573016887,95.4509684200613,7.22530151953456e-08,2.94854462387734e-06,"SL1344_2834","SL1344_2834"
"yaoF",2.18207014519651,4.73022973753454,94.8207457815005,7.54308905793546e-08,3.02810278537629e-06,"SL1344_1211","yaoF"
"SL1344_0964",-1.98693321607382,9.20230278176545,94.4889514068852,7.71674851842963e-08,3.07178468334464e-06,"SL1344_0964","SL1344_0964"
"ypeC",1.94125815173215,4.94376723377781,93.9564548011049,8.0050207547504e-08,3.1338663896903e-06,"SL1344_2375","ypeC"
"yjbF",1.87628893686187,3.24037417290691,93.9658473604276,7.999831307822e-08,3.1338663896903e-06,"SL1344_4159","yjbF"
"gogB",2.26407598297664,5.7397962539588,93.7315035864952,8.13045602000996e-08,3.15688280055633e-06,"SL1344_2546","gogB"
"pmrF",2.29882598689123,7.24334413343555,93.15871548355,8.46004154498243e-08,3.25814770720177e-06,"SL1344_2267","pmrF"
"psiF",2.57942438767232,3.66094264252757,93.0375578756744,8.53168297822255e-08,3.25924050547099e-06,"SL1344_0379","psiF"
"dlhH",2.65970159077144,5.4442560442833,91.0422166141215,9.81640921700027e-08,3.72002643687442e-06,"SL1344_3921","dlhH"
"ybdF",1.5790860898889,5.38495308379192,89.0445633084191,1.13269839154512e-07,4.2584065720232e-06,"SL1344_0567","ybdF"
"yaiY",2.02166493295979,3.59037357774054,88.2024508392267,1.20415204394792e-07,4.45630330639165e-06,"SL1344_0373","yaiY"
"acrB",1.51158065918385,10.8947953537856,88.2391268388411,1.20093556480995e-07,4.45630330639165e-06,"SL1344_0468","acrB"
